lsoa11,ah3h,ah3g,ah3e,ah3r,ah3ahah
E01000222,-0.604926072,0.769852622,1.42694971,-0.07213405,32.59217208
E01000223,-0.222129196,0.403179381,1.551268938,0.004626049,30.92400488
E01000224,-0.478028589,0.835329319,1.345050533,0.037152714,33.71121075
E01000225,-0.574401241,1.02575387,1.395410566,0.574588718,41.10031519
E01000226,-0.776264784,0.615428313,1.001655678,0.470670793,28.80187894
E01000227,-0.602644238,0.819275011,0.975755181,0.682557279,33.83228327
E01000228,-0.146541938,-0.096460414,0.886824536,0.120877834,20.91932465
E01000229,0.128441489,0.308575944,0.928572698,0.095646713,25.92715118
E01000230,-0.568426401,0.373711797,0.928572698,0.511890613,26.12760142
E01000231,-0.76957854,0.166893246,1.149760789,0.638824562,26.72035314
E01000232,-0.881803139,0.601400502,1.129219729,0.925635268,33.35548504
E01000233,-1.045065316,0.792550971,1.080511963,1.191760097,37.98801345
E01000234,-0.814895495,0.572530643,1.173273096,1.201818194,36.14599471
E01000235,-0.776332258,0.923330903,1.169348256,0.81377737,38.18229609
E01000236,-0.9518786,0.626005385,1.445314286,0.472601115,33.185778
E01000237,-1.277614894,0.772757144,1.270314703,0.961275146,37.23848776
E01000238,-1.202899561,0.834507854,1.360995941,0.558893006,35.95409168
E01000239,-0.27724587,0.632344486,1.126550365,0.42673664,31.37137992
E01000240,0.121202336,0.573055095,1.187450304,-0.037548081,30.56375177
E01000241,-0.611061824,-0.112397713,1.229410749,0.428740482,24.34830542
E01000242,-0.572781336,0.321924351,1.346513883,0.494965858,29.65748031
E01000243,-1.25779376,0.930937722,1.379466154,1.35108541,45.02233279
E01000244,-0.968056168,0.695288285,1.238760684,1.236771195,38.72968942
E01000245,-1.659276784,0.933966033,1.499446591,1.278629507,45.34844753
E01000246,-0.242539762,-0.298331073,0.602753316,0.137974976,17.35450923
E01000247,-0.149067109,-0.078796096,0.694885541,0.242798443,20.26984126
E01000248,-1.073088364,0.471868217,0.535942127,1.081213623,27.94641945
E01000249,-0.340768958,0.063545389,0.541771812,0.365839676,19.98413344
E01000250,-1.491435504,0.606885977,0.643492721,1.327730247,32.52464019
E01000251,-1.09513979,-0.063461805,0.589988668,0.977847015,22.67964333
E01000252,-0.814755197,-0.192009644,0.541444171,0.462706674,17.72868433
E01000253,0.572177208,-0.066077642,0.608236004,-0.417164587,21.51783147
E01000254,-0.510230404,-0.447421505,0.53938944,0.460012785,17.39305944
E01000255,0.310124301,-0.578743332,1.056690425,-0.261067573,21.51852386
E01000256,-0.11862756,0.129404139,1.267298332,-0.046744246,25.38880122
E01000257,-0.191495856,0.119578021,1.078034946,0.453264025,26.02771661
E01000258,-1.100212253,0.532531556,1.250344826,0.873135619,32.9883706
E01000259,-0.165357938,0.530332206,1.187686588,0.19831501,29.69648454
E01000260,0.002081101,0.645061308,1.236202607,-0.304663188,30.10728173
E01000261,0.063787481,-0.420391484,1.094110112,0.238348662,23.23211923
E01000262,0.522832362,0.041380296,0.935102486,-0.362145602,24.60322245
E01000263,-0.551797878,0.196170468,1.191807477,0.395539808,26.10148705
E01000264,-1.722629866,1.221250723,1.207158835,1.39043234,48.71513823
E01000265,-0.921826068,0.485778213,1.061814933,0.979839326,31.66797034
E01000266,-0.399572588,-0.064871342,1.028244498,0.593173876,24.57079594
E01000267,-0.426620756,-0.14635695,0.556828875,0.178999263,17.25598082
E01000268,-0.95779928,-0.201501373,0.586984877,0.977709704,22.11063634
E01000269,-0.473875746,-0.00474704,0.495876367,0.856765284,22.60203009
E01000270,-0.749158774,-0.267824089,0.586984877,0.690546901,19.72888351
E01000271,-0.218225243,-0.33838828,0.522694204,0.21926138,17.17639742
E01000272,-0.34927814,-0.592343463,0.830108225,0.343274698,18.98855145
E01000273,-0.943411601,-0.222384229,0.812561787,0.77790538,22.06187825
E01000274,-0.822694854,-0.121814975,0.90834477,0.842509543,24.11026897
E01000275,-0.372307088,-0.721340832,0.859849443,0.137037762,17.52266976
E01000276,0.19747309,-1.207464743,0.837402531,-0.07376559,18.64311826
E01000277,-0.875798399,-0.355588747,1.073031225,0.656698624,22.80276946
E01000278,0.191432825,-0.664816422,1.029705448,0.189958489,22.46265646
E01000279,0.628738925,-1.131557736,0.615345927,-0.341135347,19.25689036
E01000280,-0.258212445,-0.885428204,0.588712451,0.441944562,17.5866186
E01000281,-0.418498099,0.741036234,0.70079066,0.66885234,30.81701483
E01000282,-0.667644607,-0.541552014,0.646903744,0.562863089,18.36439136
E01000283,-0.243357106,-0.687784769,0.889391635,0.033733276,17.77235689
E01000284,-1.062734005,-0.328972524,0.915487338,0.501136018,19.98570301
E01000285,-0.394611162,0.101691691,0.451110382,-0.12541559,16.51716226
E01000286,-0.258075502,0.091965351,0.455756153,0.092293894,18.15502753
E01000287,-0.283067745,-0.040804256,0.442455819,-0.112971371,15.95992749
E01000288,-0.831676927,-0.469570126,0.522031341,0.258691908,15.05736303
E01000289,-0.855475458,-0.316961554,0.462452408,0.086676379,14.04271934
E01000290,0.283728267,-0.231697056,0.616178446,-0.348103056,18.64297798
E01000291,-0.167776851,0.000511744,0.442455819,-0.162109477,16.49500449
E01000292,-0.776438209,-0.289183976,0.522005338,0.635872188,18.62228367
E01000293,-0.928687858,0.084825256,0.531658607,0.662662649,20.78391706
E01000294,-0.468637826,0.026786596,0.490161049,0.698172395,21.44518525
E01000295,-0.825034508,0.467562574,1.273614804,1.368181817,37.75898352
E01000296,-1.141018015,0.419340874,1.221679973,1.878770125,41.43738438
E01000297,-0.683300584,0.871337602,1.453902595,0.51252644,38.03993939
E01000298,-1.193007383,0.677837107,1.332984209,1.859804654,45.70330395
E01000299,-1.787998671,0.946959414,1.12458569,1.733412741,46.28107045
E01000300,-0.758177353,-0.120803886,1.120951738,0.855726715,26.31684383
E01000301,-0.322352878,-0.474000378,1.094559422,0.795032355,25.31939574
E01000302,-0.939017724,0.017162299,1.120951738,1.141604379,29.41208301
E01000303,-0.117412168,-0.328280913,1.076287101,0.672067965,25.54637596
E01000304,-0.186954163,-0.057868508,1.221679973,0.766496734,28.86627182
E01000305,-0.902921515,0.072862931,1.295684952,0.690004838,27.72380734
E01000306,-1.09100379,0.173376952,1.279997703,0.68764051,28.03915666
E01000307,-0.520007527,0.06482645,1.440668403,0.200000861,26.51849661
E01000308,-0.926119477,-0.341139506,1.228879254,0.631463993,24.18244015
E01000309,-0.735796541,0.196179431,1.078366299,0.540380472,25.55748972
E01000310,-0.942026764,0.470930422,1.440668403,0.551429256,31.84313852
E01000311,-0.653812449,0.681607287,1.612512489,0.442076267,36.43868779
E01000312,-0.525708508,0.015558188,1.060271076,0.073431721,21.36867718
E01000313,-1.402417665,0.063889962,1.049299851,1.108460842,28.20614439
E01000314,-1.452542045,0.406787496,1.309062443,1.308458388,36.0026533
E01000315,-0.596748531,0.040797941,1.309582864,1.071741449,31.67328791
E01000316,-0.460412598,0.594257891,1.327360281,0.35088105,31.85270536
E01000317,-1.033836338,0.101274778,1.164083973,1.190481836,30.79401244
E01000318,-0.999991943,0.457987343,1.148611237,0.984382973,32.09837081
E01000319,-0.590956062,0.456612115,1.299560703,0.456669878,30.17042349
E01000320,-1.009693494,-0.023504463,1.027664204,0.793775071,25.00984489
E01000321,-1.512142771,0.554914948,0.943091236,0.981137258,30.85173016
E01000322,-1.14828589,-0.149922891,1.128040652,1.000327319,26.83572988
E01000323,-1.979646169,0.579867266,1.148611237,1.676572125,40.04289031
E01000324,-0.812719736,0.038408154,1.191777243,1.017671936,29.36777875
E01000325,-0.505165513,0.390015502,1.034610212,0.1588566,24.98385633
E01000326,0.068666024,-0.08263261,1.071768862,0.035443212,23.37667513
E01000327,-0.772092581,0.165670315,1.160768416,0.697411993,27.30360468
E01000328,-0.06382692,-0.404768702,0.976298984,0.103794671,20.64015775
E01000329,-0.716323015,0.362038561,0.959664099,0.793163129,28.2291736
E01000330,-0.852721899,0.411786695,1.167289248,1.133362448,33.43520859
E01000331,-0.220847872,-0.521703949,0.797537013,0.374398069,19.69487336
E01000332,-0.122296572,0.339290732,1.15043589,0.693625758,31.00862585
E01000333,-0.437703044,0.859960026,1.17702552,1.322943119,42.84572543
E01000334,-0.003981306,0.884155153,1.202821226,0.839298214,40.96349609
E01000335,0.482800888,0.393522224,1.338403561,-0.515227293,30.99817753
E01000336,-0.372107543,0.801114439,1.206163092,1.349611565,42.75992487
E01000337,-0.132744465,0.485251415,1.206163092,0.871494323,34.69875206
E01000338,-0.253173351,0.534143198,1.201302081,1.097189642,36.72056652
E01000339,-0.617169386,0.506002423,0.85931072,0.625410042,27.78990366
E01000340,-0.209186691,0.52172742,0.91492988,0.697651666,30.48675528
E01000341,-0.294737247,0.616988399,0.862295208,0.815460543,31.90711653
E01000342,-0.24852808,0.478312199,0.833670325,0.514693372,27.64178276
E01000343,-0.79711737,0.483028272,0.862295208,1.458438966,35.02905868
E01000344,-0.825589071,0.793255523,0.848045444,0.833437144,33.04635602
E01000345,-0.370727393,0.420179749,0.862295208,0.391230337,25.80706664
E01000346,-0.515384925,0.256471517,0.888615392,0.657016822,25.93547035
E01000347,-0.43971598,0.333137523,0.892088954,0.832252167,28.43582005
E01000348,0.043761964,-0.106366284,0.921368081,0.465648631,24.52066969
E01000349,-0.084242947,-0.129817375,0.85956239,-0.019416549,20.07117555
E01000350,-0.694518846,0.346826715,0.87267173,0.996971044,29.14273729
E01000351,0.112679451,0.011631581,0.887797909,0.436822627,25.17478307
E01000352,-0.078633632,0.32253474,0.887797909,0.686322079,28.61127919
E01000353,-0.514876483,0.765987753,1.172852118,0.588323313,34.32424997
E01000354,-0.057065104,0.662711943,1.186270096,0.015878784,30.9555551
E01000355,-0.793000852,0.671978695,1.143623249,0.52954882,31.34287387
E01000356,-0.661644538,0.66331968,1.212640278,0.873888389,35.15652601
E01000357,-0.528848647,0.134107272,1.213331307,0.412705299,26.00954604
E01000358,-0.677893546,0.268430714,1.172852118,0.666027934,28.31365412
E01000359,0.048702631,0.837722717,1.186321132,-0.143601771,33.55301172
E01000360,-1.329704443,0.883214961,1.125838,1.565993736,43.70622568
E01000361,-0.774032668,-0.076022931,1.097781483,0.523700804,23.52623611
E01000362,-0.739829366,0.377501386,1.031351803,0.756993832,28.62446223
E01000363,-0.498784559,0.089469492,1.106683658,0.404970322,24.53764612
E01000364,-0.017947826,-0.890722686,0.842560109,0.027578762,18.14468216
E01000365,-0.851619429,0.391530885,1.189551377,1.026450497,32.48203379
E01000366,-0.989080565,0.688483395,1.214213325,0.978740833,35.85154411
E01000367,-0.601187894,0.259926261,1.257203426,0.037122629,25.00044913
E01000368,0.002151708,0.429592618,1.148699472,-0.071589487,27.48126374
E01000369,-0.269605939,0.674460389,1.125873132,0.533889087,32.88130323
E01000370,-0.769335154,0.253143586,1.143623249,0.967845905,30.21561381
E01000371,-0.12885048,0.371102572,1.148699472,0.294690834,28.25319012
E01000372,-1.433925503,0.026333962,1.28356209,0.525581351,25.30790507
E01000373,0.376239539,0.306097571,1.574594091,-0.271627173,32.80387983
E01000374,0.241195078,-0.203521256,1.198449269,0.018545686,25.12865052
E01000375,-0.308337074,-0.028161663,1.067289886,0.554319357,25.17297546
E01000376,-0.035136043,-0.238386136,1.034333127,0.310262257,23.27820268
E01000377,-0.463149137,-0.27045687,0.959797661,0.649059068,23.16918837
E01000378,-0.814255296,-0.322818841,0.860410762,1.226409047,26.3289108
E01000379,-0.03595986,-0.30648344,1.003931128,0.264779841,22.44317264
E01000380,0.330844621,0.300043693,1.141788957,-0.125241919,28.08746838
E01000381,0.722377289,0.152563045,0.874069555,-0.575300084,25.95103238
E01000382,-0.054448557,0.156710911,1.119600164,0.055055657,24.89923675
E01000383,0.538155019,-0.936127481,0.849913358,-0.181149723,21.15050837
E01000384,-0.831585033,-0.347716771,0.846876912,1.093578673,24.81704249
E01000385,-0.171632633,0.136336267,1.042489166,0.695506419,27.89031214
