2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,%,Less than 2km,%,2km to less than 5km,%,5km to less than 10km,%,10km to less than 20km,%,20km to less than 30km,%,30km to less than 40km,%,40km to less than 60km,%,60km and over,%,Works mainly from home,%,"Works mainly at an offshore installation, in no fixed place, or outside the UK",%
Bradford 060D,E01010865,773,100,73,9.4,153,19.8,135,17.5,78,10.1,19,2.5,6,0.8,6,0.8,13,1.7,180,23.3,110,14.2
Bradford 060E,E01010866,688,100,70,10.2,121,17.6,123,17.9,76,11,11,1.6,3,0.4,10,1.5,3,0.4,159,23.1,112,16.3
Bradford 061A,E01010868,632,100,73,11.6,114,18,124,19.6,78,12.3,10,1.6,4,0.6,3,0.5,3,0.5,129,20.4,94,14.9
Bradford 061B,E01010869,745,100,72,9.7,119,16,163,21.9,96,12.9,11,1.5,3,0.4,2,0.3,3,0.4,167,22.4,109,14.6
Bradford 061C,E01010870,670,100,58,8.7,102,15.2,125,18.7,93,13.9,15,2.2,1,0.1,5,0.7,4,0.6,164,24.5,103,15.4
Bradford 061D,E01010871,911,100,59,6.5,117,12.8,192,21.1,110,12.1,13,1.4,5,0.5,8,0.9,8,0.9,250,27.4,149,16.4
Bradford 061E,E01010872,652,100,44,6.7,98,15,164,25.2,67,10.3,12,1.8,9,1.4,13,2,7,1.1,142,21.8,96,14.7
Bradford 061F,E01010873,556,100,36,6.5,95,17.1,124,22.3,65,11.7,8,1.4,5,0.9,6,1.1,7,1.3,125,22.5,85,15.3
Bradford 062A,E01010638,690,100,63,9.1,60,8.7,124,18,69,10,37,5.4,11,1.6,4,0.6,9,1.3,200,29,113,16.4
Bradford 062B,E01010642,955,100,72,7.5,115,12,136,14.2,114,11.9,58,6.1,14,1.5,7,0.7,6,0.6,309,32.4,124,13
Bradford 062C,E01010645,940,100,154,16.4,80,8.5,124,13.2,102,10.9,45,4.8,8,0.9,7,0.7,10,1.1,313,33.3,97,10.3
Bradford 062D,E01010644,1045,100,202,19.3,53,5.1,148,14.2,127,12.2,53,5.1,26,2.5,4,0.4,9,0.9,271,25.9,152,14.5
Bradford 062E,E01010643,759,100,83,10.9,101,13.3,91,12,98,12.9,39,5.1,5,0.7,8,1.1,5,0.7,241,31.8,88,11.6
Bradford 063A,E01010640,934,100,108,11.6,111,11.9,188,20.1,96,10.3,35,3.7,13,1.4,2,0.2,3,0.3,223,23.9,155,16.6
Bradford 063B,E01010641,646,100,77,11.9,38,5.9,141,21.8,71,11,40,6.2,11,1.7,4,0.6,8,1.2,174,26.9,82,12.7
Bradford 063C,E01010639,982,100,70,7.1,108,11,164,16.7,131,13.3,56,5.7,10,1,5,0.5,4,0.4,277,28.2,157,16
