2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,%,Less than 2km,%,2km to less than 5km,%,5km to less than 10km,%,10km to less than 20km,%,20km to less than 30km,%,30km to less than 40km,%,40km to less than 60km,%,60km and over,%,Works mainly from home,%,"Works mainly at an offshore installation, in no fixed place, or outside the UK",%
Bradford 016C,E01010571,935,100,134,14.3,95,10.2,159,17,98,10.5,24,2.6,8,0.9,3,0.3,4,0.4,267,28.6,143,15.3
Bradford 016D,E01010572,736,100,103,14,80,10.9,103,14,64,8.7,20,2.7,1,0.1,0,0,0,0,255,34.6,110,14.9
Bradford 016E,E01010576,747,100,51,6.8,91,12.2,127,17,79,10.6,17,2.3,1,0.1,1,0.1,4,0.5,293,39.2,83,11.1
Bradford 017A,E01010683,1435,100,52,3.6,142,9.9,229,16,183,12.8,27,1.9,4,0.3,11,0.8,13,0.9,624,43.5,150,10.5
Bradford 017B,E01010684,740,100,66,8.9,95,12.8,135,18.2,76,10.3,16,2.2,0,0,1,0.1,3,0.4,230,31.1,118,15.9
Bradford 017C,E01010685,853,100,64,7.5,107,12.5,133,15.6,100,11.7,18,2.1,2,0.2,9,1.1,9,1.1,291,34.1,120,14.1
Bradford 017D,E01010686,845,100,66,7.8,130,15.4,121,14.3,107,12.7,20,2.4,0,0,2,0.2,5,0.6,272,32.2,122,14.4
Bradford 018A,E01010570,658,100,37,5.6,64,9.7,106,16.1,57,8.7,14,2.1,3,0.5,3,0.5,2,0.3,304,46.2,68,10.3
Bradford 018B,E01010583,508,100,64,12.6,78,15.4,89,17.5,49,9.6,7,1.4,0,0,1,0.2,6,1.2,143,28.1,71,14
Bradford 018C,E01010784,844,100,79,9.4,112,13.3,134,15.9,93,11,23,2.7,2,0.2,3,0.4,4,0.5,312,37,82,9.7
Bradford 018D,E01010785,866,100,65,7.5,113,13,122,14.1,76,8.8,20,2.3,0,0,8,0.9,4,0.5,387,44.7,71,8.2
Bradford 018E,E01010786,632,100,26,4.1,86,13.6,75,11.9,56,8.9,19,3,0,0,7,1.1,4,0.6,292,46.2,67,10.6
Bradford 018F,E01010790,726,100,53,7.3,108,14.9,102,14,51,7,17,2.3,8,1.1,5,0.7,6,0.8,310,42.7,66,9.1
Bradford 019A,E01010680,608,100,67,11,114,18.8,146,24,69,11.3,14,2.3,1,0.2,2,0.3,8,1.3,104,17.1,83,13.7
Bradford 019B,E01010681,804,100,87,10.8,125,15.5,128,15.9,92,11.4,9,1.1,3,0.4,5,0.6,10,1.2,246,30.6,99,12.3
Bradford 019C,E01010682,602,100,84,14,106,17.6,113,18.8,59,9.8,10,1.7,2,0.3,3,0.5,7,1.2,128,21.3,90,15
Bradford 019D,E01010687,992,100,75,7.6,144,14.5,136,13.7,121,12.2,27,2.7,5,0.5,4,0.4,9,0.9,361,36.4,110,11.1
Bradford 019E,E01010688,1037,100,108,10.4,179,17.3,180,17.4,123,11.9,19,1.8,1,0.1,5,0.5,7,0.7,269,25.9,146,14.1
Bradford 019F,E01010689,1121,100,96,8.6,139,12.4,182,16.2,123,11,23,2.1,6,0.5,7,0.6,10,0.9,400,35.7,135,12
Bradford 019G,E01010690,909,100,118,13,171,18.8,115,12.7,91,10,19,2.1,2,0.2,4,0.4,5,0.6,265,29.2,119,13.1
Bradford 020B,E01010782,994,100,120,12.1,170,17.1,143,14.4,117,11.8,24,2.4,5,0.5,4,0.4,6,0.6,282,28.4,123,12.4
Bradford 020C,E01010787,716,100,77,10.8,109,15.2,75,10.5,64,8.9,14,2,1,0.1,3,0.4,3,0.4,310,43.3,60,8.4
Bradford 020D,E01010788,681,100,73,10.7,91,13.4,68,10,69,10.1,11,1.6,2,0.3,5,0.7,4,0.6,290,42.6,68,10
Bradford 020E,E01033689,676,100,75,11.1,88,13,100,14.8,52,7.7,17,2.5,1,0.1,3,0.4,6,0.9,302,44.7,32,4.7
Bradford 020F,E01033694,594,100,64,10.8,54,9.1,65,10.9,69,11.6,14,2.4,0,0,4,0.7,2,0.3,271,45.6,51,8.6
Bradford 021A,E01010776,699,100,103,14.7,159,22.7,88,12.6,74,10.6,18,2.6,3,0.4,1,0.1,7,1,143,20.5,103,14.7
Bradford 021B,E01010777,614,100,94,15.3,133,21.7,92,15,77,12.5,7,1.1,1,0.2,2,0.3,3,0.5,144,23.5,61,9.9
Bradford 021C,E01010779,698,100,102,14.6,99,14.2,136,19.5,77,11,9,1.3,0,0,3,0.4,4,0.6,163,23.4,105,15
Bradford 021D,E01010781,633,100,101,16,109,17.2,109,17.2,66,10.4,17,2.7,1,0.2,6,0.9,4,0.6,128,20.2,92,14.5
Bradford 021E,E01010783,759,100,93,12.3,159,20.9,93,12.3,71,9.4,23,3,7,0.9,6,0.8,3,0.4,192,25.3,112,14.8
Bradford 022A,E01010586,755,100,32,4.2,103,13.6,118,15.6,71,9.4,36,4.8,8,1.1,2,0.3,4,0.5,293,38.8,88,11.7
Bradford 022B,E01010587,1047,100,46,4.4,157,15,195,18.6,124,11.8,29,2.8,3,0.3,5,0.5,8,0.8,351,33.5,129,12.3
Bradford 022C,E01010588,732,100,31,4.2,104,14.2,139,19,86,11.7,20,2.7,3,0.4,4,0.5,3,0.4,255,34.8,87,11.9
Bradford 022D,E01010589,655,100,26,4,81,12.4,144,22,71,10.8,27,4.1,6,0.9,3,0.5,5,0.8,216,33,76,11.6
Bradford 022E,E01010591,668,100,47,7,136,20.4,149,22.3,75,11.2,23,3.4,2,0.3,2,0.3,5,0.7,139,20.8,90,13.5
Bradford 022F,E01010593,850,100,34,4,100,11.8,199,23.4,110,12.9,28,3.3,2,0.2,3,0.4,9,1.1,257,30.2,108,12.7
Bradford 022G,E01010596,666,100,47,7.1,103,15.5,116,17.4,64,9.6,19,2.9,1,0.2,0,0,6,0.9,219,32.9,91,13.7
Bradford 023A,E01010854,909,100,63,6.9,114,12.5,146,16.1,136,15,40,4.4,11,1.2,2,0.2,8,0.9,253,27.8,136,15
Bradford 023B,E01010855,787,100,34,4.3,69,8.8,107,13.6,149,18.9,31,3.9,12,1.5,11,1.4,8,1,253,32.1,113,14.4
Bradford 023C,E01010856,743,100,59,7.9,51,6.9,144,19.4,135,18.2,21,2.8,13,1.7,3,0.4,4,0.5,212,28.5,101,13.6
Bradford 023D,E01010857,755,100,30,4,31,4.1,120,15.9,135,17.9,22,2.9,6,0.8,5,0.7,8,1.1,269,35.6,129,17.1
Bradford 023E,E01010858,850,100,22,2.6,42,4.9,157,18.5,187,22,23,2.7,8,0.9,19,2.2,9,1.1,252,29.6,131,15.4
Bradford 023F,E01010861,885,100,54,6.1,133,15,113,12.8,168,19,23,2.6,6,0.7,2,0.2,3,0.3,257,29,126,14.2
Bradford 024A,E01010603,722,100,86,11.9,184,25.5,83,11.5,75,10.4,11,1.5,1,0.1,9,1.2,7,1,154,21.3,112,15.5
Bradford 024B,E01010604,803,100,82,10.2,183,22.8,114,14.2,78,9.7,18,2.2,4,0.5,4,0.5,7,0.9,188,23.4,125,15.6
Bradford 024C,E01010605,632,100,92,14.6,189,29.9,78,12.3,62,9.8,16,2.5,1,0.2,0,0,5,0.8,91,14.4,98,15.5
Bradford 024D,E01010775,860,100,92,10.7,181,21,111,12.9,84,9.8,13,1.5,1,0.1,1,0.1,6,0.7,246,28.6,125,14.5
Bradford 024E,E01010778,889,100,119,13.4,233,26.2,103,11.6,72,8.1,18,2,5,0.6,7,0.8,10,1.1,191,21.5,131,14.7
Bradford 025A,E01010789,729,100,72,9.9,158,21.7,71,9.7,72,9.9,6,0.8,1,0.1,3,0.4,5,0.7,241,33.1,100,13.7
Bradford 025B,E01010791,731,100,61,8.3,186,25.4,71,9.7,66,9,13,1.8,6,0.8,4,0.5,5,0.7,202,27.6,117,16
Bradford 025C,E01010792,698,100,84,12,174,24.9,80,11.5,79,11.3,20,2.9,1,0.1,4,0.6,7,1,153,21.9,96,13.8
Bradford 025D,E01010793,723,100,95,13.1,190,26.3,52,7.2,99,13.7,14,1.9,1,0.1,7,1,7,1,187,25.9,71,9.8
Bradford 026A,E01010652,730,100,94,12.9,154,21.1,100,13.7,85,11.6,5,0.7,5,0.7,10,1.4,8,1.1,151,20.7,118,16.2
Bradford 026B,E01010653,785,100,89,11.3,191,24.3,139,17.7,69,8.8,13,1.7,2,0.3,3,0.4,8,1,159,20.3,112,14.3
Bradford 026C,E01010655,547,100,103,18.8,121,22.1,75,13.7,40,7.3,8,1.5,2,0.4,2,0.4,1,0.2,108,19.7,87,15.9
Bradford 026D,E01010656,695,100,74,10.6,185,26.6,87,12.5,70,10.1,11,1.6,5,0.7,6,0.9,3,0.4,151,21.7,103,14.8
Bradford 026E,E01010657,682,100,90,13.2,159,23.3,95,13.9,72,10.6,18,2.6,2,0.3,2,0.3,4,0.6,144,21.1,96,14.1
Bradford 027A,E01010649,714,100,98,13.7,166,23.2,123,17.2,76,10.6,9,1.3,4,0.6,2,0.3,4,0.6,124,17.4,108,15.1
Bradford 027B,E01010650,803,100,70,8.7,174,21.7,191,23.8,94,11.7,15,1.9,5,0.6,5,0.6,6,0.7,125,15.6,118,14.7
Bradford 027C,E01010654,697,100,92,13.2,143,20.5,153,22,64,9.2,19,2.7,2,0.3,7,1,2,0.3,93,13.3,122,17.5
Bradford 027D,E01010826,492,100,54,11,141,28.7,78,15.9,46,9.3,11,2.2,9,1.8,4,0.8,3,0.6,73,14.8,73,14.8
Bradford 028A,E01010597,704,100,81,11.5,183,26,70,9.9,79,11.2,20,2.8,3,0.4,8,1.1,4,0.6,150,21.3,106,15.1
Bradford 028B,E01010598,721,100,82,11.4,190,26.4,53,7.4,83,11.5,13,1.8,7,1,1,0.1,6,0.8,169,23.4,117,16.2
Bradford 028C,E01010599,585,100,61,10.4,129,22.1,56,9.6,66,11.3,14,2.4,0,0,7,1.2,5,0.9,157,26.8,90,15.4
Bradford 028D,E01010600,535,100,65,12.1,154,28.8,41,7.7,57,10.7,7,1.3,9,1.7,7,1.3,3,0.6,108,20.2,84,15.7
Bradford 028E,E01010602,710,100,99,13.9,164,23.1,50,7,86,12.1,12,1.7,6,0.8,8,1.1,1,0.1,178,25.1,106,14.9
Bradford 029A,E01010670,656,100,97,14.8,150,22.9,50,7.6,56,8.5,14,2.1,6,0.9,8,1.2,11,1.7,191,29.1,73,11.1
Bradford 029B,E01010671,632,100,107,16.9,125,19.8,68,10.8,59,9.3,14,2.2,4,0.6,5,0.8,10,1.6,147,23.3,93,14.7
Bradford 029C,E01010673,638,100,136,21.3,114,17.9,58,9.1,58,9.1,10,1.6,4,0.6,3,0.5,2,0.3,150,23.5,103,16.1
Bradford 029D,E01010675,758,100,111,14.6,159,21,73,9.6,65,8.6,8,1.1,5,0.7,13,1.7,14,1.8,205,27,105,13.9
Bradford 030A,E01010669,764,100,46,6,194,25.4,141,18.5,83,10.9,15,2,8,1,8,1,5,0.7,143,18.7,121,15.8
Bradford 030B,E01010674,706,100,77,10.9,166,23.5,91,12.9,57,8.1,20,2.8,13,1.8,7,1,3,0.4,132,18.7,140,19.8
Bradford 030D,E01010805,641,100,87,13.6,153,23.9,81,12.6,54,8.4,11,1.7,3,0.5,8,1.2,12,1.9,142,22.2,90,14
Bradford 030E,E01033898,492,100,84,17.1,105,21.3,47,9.6,40,8.1,8,1.6,5,1,12,2.4,4,0.8,95,19.3,92,18.7
Bradford 030F,E01033899,359,100,65,18.1,74,20.6,44,12.3,31,8.6,4,1.1,4,1.1,1,0.3,3,0.8,54,15,79,22
Bradford 031A,E01010590,1103,100,41,3.7,99,9,201,18.2,171,15.5,36,3.3,10,0.9,6,0.5,5,0.5,368,33.4,166,15
Bradford 031B,E01010592,732,100,27,3.7,91,12.4,152,20.8,96,13.1,30,4.1,13,1.8,2,0.3,6,0.8,204,27.9,111,15.2
Bradford 031C,E01010594,826,100,24,2.9,45,5.4,241,29.2,129,15.6,25,3,7,0.8,4,0.5,7,0.8,211,25.5,133,16.1
Bradford 031D,E01010595,1061,100,21,2,43,4.1,314,29.6,149,14,46,4.3,11,1,3,0.3,9,0.8,261,24.6,204,19.2
Bradford 032A,E01010601,833,100,87,10.4,247,29.7,85,10.2,75,9,18,2.2,6,0.7,3,0.4,5,0.6,181,21.7,126,15.1
Bradford 032B,E01010651,781,100,82,10.5,197,25.2,81,10.4,80,10.2,20,2.6,3,0.4,3,0.4,6,0.8,195,25,114,14.6
Bradford 032C,E01010825,684,100,71,10.4,175,25.6,68,9.9,61,8.9,10,1.5,3,0.4,5,0.7,9,1.3,167,24.4,115,16.8
Bradford 032D,E01010827,598,100,72,12,174,29.1,72,12,55,9.2,11,1.8,4,0.7,5,0.8,3,0.5,107,17.9,95,15.9
Bradford 033A,E01010804,815,100,141,17.3,154,18.9,79,9.7,76,9.3,14,1.7,7,0.9,1,0.1,8,1,166,20.4,169,20.7
Bradford 033B,E01010806,620,100,140,22.6,123,19.8,48,7.7,58,9.4,14,2.3,2,0.3,8,1.3,7,1.1,110,17.7,110,17.7
Bradford 033C,E01010807,828,100,172,20.8,172,20.8,76,9.2,92,11.1,8,1,4,0.5,8,1,8,1,165,19.9,123,14.9
Bradford 033D,E01010808,670,100,177,26.4,130,19.4,47,7,76,11.3,23,3.4,5,0.7,5,0.7,9,1.3,91,13.6,107,16
Bradford 033E,E01010809,666,100,196,29.4,107,16.1,55,8.3,47,7.1,10,1.5,0,0,8,1.2,3,0.5,106,15.9,134,20.1
Bradford 034A,E01010676,768,100,190,24.7,139,18.1,70,9.1,78,10.2,12,1.6,3,0.4,9,1.2,4,0.5,140,18.2,123,16
Bradford 034B,E01010679,659,100,161,24.4,132,20,41,6.2,67,10.2,13,2,4,0.6,7,1.1,12,1.8,129,19.6,93,14.1
Bradford 034C,E01010824,686,100,100,14.6,175,25.5,52,7.6,88,12.8,19,2.8,2,0.3,11,1.6,8,1.2,136,19.8,95,13.8
Bradford 034D,E01010840,482,100,138,28.6,74,15.4,26,5.4,45,9.3,5,1,1,0.2,2,0.4,9,1.9,80,16.6,102,21.2
Bradford 034E,E01010841,650,100,171,26.3,114,17.5,36,5.5,54,8.3,14,2.2,3,0.5,5,0.8,12,1.8,149,22.9,92,14.2
Bradford 035A,E01010828,616,100,96,15.6,164,26.6,74,12,47,7.6,10,1.6,6,1,4,0.6,11,1.8,117,19,87,14.1
Bradford 035B,E01010829,530,100,94,17.7,140,26.4,30,5.7,61,11.5,10,1.9,8,1.5,3,0.6,8,1.5,94,17.7,82,15.5
Bradford 035C,E01010830,726,100,120,16.5,181,24.9,63,8.7,98,13.5,20,2.8,1,0.1,3,0.4,4,0.6,113,15.6,123,16.9
Bradford 035D,E01010831,737,100,127,17.2,182,24.7,62,8.4,77,10.4,17,2.3,10,1.4,9,1.2,14,1.9,110,14.9,129,17.5
Bradford 035E,E01010832,706,100,138,19.5,164,23.2,52,7.4,81,11.5,12,1.7,10,1.4,8,1.1,11,1.6,118,16.7,112,15.9
Bradford 036A,E01010672,669,100,24,3.6,148,22.1,134,20,55,8.2,16,2.4,3,0.4,3,0.4,4,0.6,187,28,95,14.2
Bradford 036B,E01010678,548,100,23,4.2,119,21.7,101,18.4,40,7.3,17,3.1,2,0.4,7,1.3,2,0.4,169,30.8,68,12.4
Bradford 036C,E01010799,633,100,52,8.2,152,24,122,19.3,53,8.4,18,2.8,2,0.3,8,1.3,6,0.9,144,22.7,76,12
Bradford 036D,E01010800,565,100,102,18.1,157,27.8,100,17.7,44,7.8,15,2.7,7,1.2,3,0.5,8,1.4,62,11,67,11.9
Bradford 036E,E01010801,725,100,109,15,140,19.3,94,13,68,9.4,18,2.5,3,0.4,6,0.8,6,0.8,141,19.4,140,19.3
Bradford 036F,E01010802,810,100,62,7.7,246,30.4,168,20.7,70,8.6,19,2.3,2,0.2,4,0.5,4,0.5,130,16,105,13
Bradford 037A,E01010803,580,100,140,24.1,124,21.4,61,10.5,57,9.8,12,2.1,6,1,3,0.5,6,1,61,10.5,110,19
Bradford 037B,E01010810,763,100,191,25,150,19.7,73,9.6,59,7.7,10,1.3,8,1,14,1.8,10,1.3,142,18.6,106,13.9
Bradford 037C,E01010811,666,100,170,25.5,130,19.5,55,8.3,75,11.3,6,0.9,8,1.2,8,1.2,2,0.3,95,14.3,117,17.6
Bradford 037D,E01010813,523,100,150,28.7,102,19.5,34,6.5,41,7.8,8,1.5,5,1,3,0.6,3,0.6,69,13.2,108,20.7
Bradford 038A,E01010618,605,100,98,16.2,134,22.1,83,13.7,60,9.9,9,1.5,3,0.5,3,0.5,4,0.7,82,13.6,129,21.3
Bradford 038B,E01010619,756,100,139,18.4,181,23.9,66,8.7,62,8.2,10,1.3,5,0.7,5,0.7,12,1.6,151,20,125,16.5
Bradford 038C,E01010625,500,100,96,19.2,114,22.8,55,11,40,8,8,1.6,3,0.6,7,1.4,13,2.6,71,14.2,93,18.6
Bradford 038D,E01010626,681,100,102,15,156,22.9,61,9,71,10.4,15,2.2,4,0.6,7,1,7,1,136,20,122,17.9
Bradford 038E,E01010627,632,100,71,11.2,147,23.3,85,13.4,77,12.2,10,1.6,1,0.2,9,1.4,14,2.2,118,18.7,100,15.8
Bradford 040A,E01010628,680,100,138,20.3,142,20.9,84,12.4,48,7.1,17,2.5,5,0.7,7,1,3,0.4,122,17.9,114,16.8
Bradford 040B,E01010629,811,100,171,21.1,154,19,77,9.5,79,9.7,20,2.5,3,0.4,9,1.1,12,1.5,152,18.7,134,16.5
Bradford 040C,E01010630,695,100,167,24,124,17.8,88,12.7,58,8.3,23,3.3,4,0.6,1,0.1,2,0.3,143,20.6,85,12.2
Bradford 040D,E01010631,516,100,103,20,131,25.4,72,14,32,6.2,9,1.7,6,1.2,2,0.4,1,0.2,78,15.1,82,15.9
Bradford 040E,E01010632,489,100,118,24.1,120,24.5,74,15.1,42,8.6,3,0.6,3,0.6,3,0.6,13,2.7,59,12.1,54,11
Bradford 041A,E01010658,660,100,177,26.8,126,19.1,54,8.2,61,9.2,13,2,1,0.2,1,0.2,4,0.6,106,16.1,117,17.7
Bradford 041B,E01010812,594,100,192,32.3,87,14.6,33,5.6,62,10.4,10,1.7,3,0.5,3,0.5,6,1,74,12.5,124,20.9
Bradford 041C,E01010833,566,100,155,27.4,93,16.4,27,4.8,54,9.5,1,0.2,5,0.9,16,2.8,3,0.5,99,17.5,113,20
